Повторение,"Начало, с","Нижняя точка, с","Конец, с",Оценка,Статус,Замечания,knee_angle_min,depth_margin_y,torso_angle_bottom,top_knee_angle,reversal_sum,visibility,video_id,filename,elbow_angle_min,top_elbow_angle,hip_motion_y,wrist_x_motion,pause_sec_proxy,hip_top_angle,knee_top_angle,torso_start_angle,wrist_ankle_dx,wrist_reversal_y
1,0.87,1.97,3.1,100,хорошо,основные критерии выполнены,109.171,0.03,21.787,150.94,0.0,0.95,vid_001,squat_good_01.mp4,,,,,,,,,,
2,4.87,5.93,7.1,100,хорошо,основные критерии выполнены,109.171,0.03,21.787,150.94,0.0,0.95,vid_001,squat_good_01.mp4,,,,,,,,,,
1,0.9,1.97,3.1,100,хорошо,основные критерии выполнены,109.028,0.02,17.868,151.287,0.0,0.95,vid_002,squat_good_02.mp4,,,,,,,,,,
2,4.87,5.93,7.07,100,хорошо,основные критерии выполнены,109.028,0.02,17.868,151.287,0.0,0.95,vid_002,squat_good_02.mp4,,,,,,,,,,
1,0.0,1.97,7.97,65,нужно исправить,глубина приседа недостаточная или плохо видна; есть обратное движение во время подъема,152.679,-0.1,7.758,168.617,15.931,0.95,vid_003,squat_bad_01_shallow_depth.mp4,,,,,,,,,,
1,0.0,2.27,7.97,65,нужно исправить,в верхней точке колени не полностью выпрямлены; корпус сильно наклонен вперед; есть обратное движение во время подъема,109.737,0.03,64.093,147.612,38.078,0.95,vid_004,squat_bad_02_forward_lean.mp4,,,,,,,,,,
1,0.97,1.97,3.0,100,хорошо,основные критерии выполнены,,,,,0.0,0.95,vid_005,bench_good_01.mp4,106.8,151.034,0.0,0.016,0.533,,,,,
2,4.97,5.93,7.0,100,хорошо,основные критерии выполнены,,,,,0.0,0.95,vid_005,bench_good_01.mp4,106.8,151.034,0.0,0.016,0.533,,,,,
1,0.0,1.97,7.97,70,есть небольшие замечания,амплитуда жима недостаточная или касание груди не видно; есть обратное движение во время подъема,,,,,29.667,0.95,vid_006,bench_bad_01_short_range.mp4,150.301,179.986,0.0,0.01,1.6,,,,,
1,0.6,1.97,3.4,75,есть небольшие замечания,таз заметно смещается во время жима; траектория кисти сильно смещается по горизонтали,,,,,0.0,0.95,vid_007,bench_bad_02_hip_rise.mp4,76.151,151.883,0.128,0.257,0.633,,,,,
2,4.57,5.93,7.37,75,есть небольшие замечания,таз заметно смещается во время жима; траектория кисти сильно смещается по горизонтали,,,,,0.0,0.95,vid_007,bench_bad_02_hip_rise.mp4,76.151,151.883,0.128,0.257,0.633,,,,,
1,0.63,1.97,3.33,100,хорошо,основные критерии выполнены,,,,,,0.95,vid_008,deadlift_good_01.mp4,,,,,,151.263,170.209,58.194,0.0,0.0
2,4.63,5.93,7.33,100,хорошо,основные критерии выполнены,,,,,,0.95,vid_008,deadlift_good_01.mp4,,,,,,151.263,170.209,58.194,0.0,0.0
1,0.0,1.97,7.97,65,нужно исправить,нет полного разгибания таза в конце тяги; видно заметное обратное движение снаряда,,,,,,0.95,vid_009,deadlift_bad_01_no_lockout.mp4,,,,,,75.521,150.248,59.735,0.03,0.09
1,0.53,2.27,3.43,80,есть небольшие замечания,в начале движения корпус слишком наклонен; штанга находится далеко от линии стопы,,,,,,0.95,vid_010,deadlift_bad_02_bar_far.mp4,,,,,,152.194,171.002,78.311,0.22,0.0
2,4.53,6.23,7.43,80,есть небольшие замечания,в начале движения корпус слишком наклонен; штанга находится далеко от линии стопы,,,,,,0.95,vid_010,deadlift_bad_02_bar_far.mp4,,,,,,152.194,171.002,78.311,0.22,0.0
